#time	id	act	node	grp	dest	new_grp	prob	keep_via	via
7201	17	1	834	834	274	274	1.000000	false	0
7201	18	1	886	886	274	274	1.000000	false	0
7501	22	99	136	136	259	259	1.000000	false	0
7501	5	99	204	204	95	95	1.000000	false	0
7501	25	99	246	246	274	274	1.000000	false	0
7501	23	99	265	265	259	259	1.000000	false	0
7501	26	99	296	296	274	274	1.000000	false	0
7501	24	99	370	370	274	274	1.000000	false	0
7501	27	99	488	488	274	274	1.000000	false	0
7501	6	99	605	605	274	274	1.000000	false	0
7501	16	99	637	637	274	274	1.000000	false	0
7501	21	99	660	660	410	410	1.000000	false	0
7501	17	99	834	834	274	274	1.000000	false	0
7501	18	99	886	886	274	274	1.000000	false	0
7501	22	1	136	136	259	259	1.000000	false	0
7501	5	1	204	204	95	95	1.000000	false	0
7501	25	1	246	246	274	274	1.000000	false	0
7501	23	1	265	265	259	259	1.000000	false	0
7501	26	1	296	296	274	274	1.000000	false	0
7501	24	1	370	370	274	274	1.000000	false	0
7501	27	1	488	488	274	274	1.000000	false	0
7501	6	1	605	605	274	274	1.000000	false	0
7501	16	1	637	637	274	274	1.000000	false	0
7501	21	1	660	660	410	410	1.000000	false	0
7501	17	1	834	834	274	274	1.000000	false	0
7501	18	1	886	886	274	274	1.000000	false	0
7801	22	99	136	136	259	259	1.000000	false	0
7801	5	99	204	204	95	95	1.000000	false	0
7801	25	99	246	246	274	274	1.000000	false	0
7801	23	99	265	265	259	259	1.000000	false	0
7801	26	99	296	296	274	274	1.000000	false	0
7801	24	99	370	370	274	274	1.000000	false	0
7801	27	99	488	488	274	274	1.000000	false	0
7801	6	99	605	605	274	274	1.000000	false	0
7801	16	99	637	637	274	274	1.000000	false	0
7801	21	99	660	660	410	410	1.000000	false	0
7801	17	99	834	834	274	274	1.000000	false	0
7801	18	99	886	886	274	274	1.000000	false	0
7801	22	1	136	136	259	259	1.000000	false	0
7801	5	1	204	204	95	95	1.000000	false	0
7801	25	1	246	246	274	274	1.000000	false	0
7801	23	1	265	265	259	259	1.000000	false	0
7801	26	1	296	296	274	274	1.000000	false	0
7801	24	1	370	370	274	274	1.000000	false	0
7801	27	1	488	488	274	274	1.000000	false	0
7801	6	1	605	605	274	274	1.000000	false	0
7801	16	1	637	637	274	274	1.000000	false	0
7801	21	1	660	660	410	410	1.000000	false	0
7801	17	1	834	834	274	274	1.000000	false	0
7801	18	1	886	886	274	274	1.000000	false	0
8101	22	99	136	136	259	259	1.000000	false	0
8101	5	99	204	204	95	95	1.000000	false	0
8101	25	99	246	246	274	274	1.000000	false	0
8101	23	99	265	265	259	259	1.000000	false	0
8101	26	99	296	296	274	274	1.000000	false	0
8101	24	99	370	370	274	274	1.000000	false	0
8101	27	99	488	488	274	274	1.000000	false	0
8101	6	99	605	605	274	274	1.000000	false	0
8101	16	99	637	637	274	274	1.000000	false	0
8101	21	99	660	660	410	410	1.000000	false	0
8101	17	99	834	834	274	274	1.000000	false	0
8101	18	99	886	886	274	274	1.000000	false	0
8101	22	1	136	136	259	259	1.000000	false	0
8101	5	1	204	204	95	95	1.000000	false	0
8101	25	1	246	246	274	274	1.000000	false	0
8101	23	1	265	265	259	259	1.000000	false	0
8101	26	1	296	296	274	274	1.000000	false	0
8101	24	1	370	370	274	274	1.000000	false	0
8101	27	1	488	488	274	274	1.000000	false	0
8101	6	1	605	605	274	274	1.000000	false	0
8101	16	1	637	637	274	274	1.000000	false	0
8101	21	1	660	660	410	410	1.000000	false	0
8101	17	1	834	834	274	274	1.000000	false	0
8101	18	1	886	886	274	274	1.000000	false	0
8401	22	99	136	136	259	259	1.000000	false	0
8401	5	99	204	204	95	95	1.000000	false	0
8401	25	99	246	246	274	274	1.000000	false	0
8401	23	99	265	265	259	259	1.000000	false	0
8401	26	99	296	296	274	274	1.000000	false	0
8401	24	99	370	370	274	274	1.000000	false	0
8401	27	99	488	488	274	274	1.000000	false	0
8401	6	99	605	605	274	274	1.000000	false	0
8401	16	99	637	637	274	274	1.000000	false	0
8401	21	99	660	660	410	410	1.000000	false	0
8401	17	99	834	834	274	274	1.000000	false	0
8401	18	99	886	886	274	274	1.000000	false	0
8401	22	1	136	136	259	259	1.000000	false	0
8401	5	1	204	204	95	95	1.000000	false	0
8401	25	1	246	246	274	274	1.000000	false	0
8401	23	1	265	265	259	259	1.000000	false	0
8401	26	1	296	296	274	274	1.000000	false	0
8401	24	1	370	370	274	274	1.000000	false	0
8401	27	1	488	488	274	274	1.000000	false	0
8401	6	1	605	605	274	274	1.000000	false	0
8401	16	1	637	637	274	274	1.000000	false	0
8401	21	1	660	660	410	410	1.000000	false	0
8401	17	1	834	834	274	274	1.000000	false	0
8401	18	1	886	886	274	274	1.000000	false	0
8701	22	99	136	136	259	259	1.000000	false	0
8701	5	99	204	204	95	95	1.000000	false	0
8701	25	99	246	246	274	274	1.000000	false	0
8701	23	99	265	265	259	259	1.000000	false	0
8701	26	99	296	296	274	274	1.000000	false	0
8701	24	99	370	370	274	274	1.000000	false	0
8701	27	99	488	488	274	274	1.000000	false	0
8701	6	99	605	605	274	274	1.000000	false	0
8701	16	99	637	637	274	274	1.000000	false	0
8701	21	99	660	660	410	410	1.000000	false	0
8701	17	99	834	834	274	274	1.000000	false	0
8701	18	99	886	886	274	274	1.000000	false	0
8701	22	1	136	136	259	259	1.000000	false	0
8701	5	1	204	204	95	95	1.000000	false	0
