#time	uid	from	to	dest	grp	keep_via
1210	1093	660	0	246	246	0
1210	2518	637	0	370	370	0
1210	4382	660	0	246	246	0
1211	4524	660	0	246	246	0
1211	3104	488	0	296	296	0
1211	2390	660	0	246	246	0
1211	380	660	0	246	246	0
1211	3227	660	0	246	246	0
1211	2067	637	0	370	370	0
1211	3930	660	0	246	246	0
1211	4098	637	0	370	370	0
1211	4533	637	0	370	370	0
1212	47	660	0	246	246	0
1212	214	660	0	246	246	0
1212	2736	660	0	246	246	0
1212	3301	488	0	296	296	0
1212	1094	637	0	370	370	0
1212	3562	637	0	370	370	0
1212	2239	488	0	296	296	0
1212	1347	637	0	370	370	0
1212	2482	660	0	246	246	0
1213	1660	660	0	246	246	0
1213	3461	660	0	246	246	0
1213	1561	660	0	246	246	0
1213	529	637	0	370	370	0
1213	538	660	0	246	246	0
1213	1560	637	0	370	370	0
1213	4138	660	0	246	246	0
1213	1244	637	0	370	370	0
1213	2875	488	0	296	296	0
1213	1358	488	0	296	296	0
1214	106	488	0	296	296	0
1214	244	637	0	370	370	0
1214	282	488	0	296	296	0
1214	321	660	0	246	246	0
1214	2727	637	0	370	370	0
1214	4115	660	0	246	246	0
1214	900	660	0	246	246	0
1214	1819	660	0	246	246	0
1214	2358	637	0	370	370	0
1215	4756	637	0	370	370	0
